title,url,source,date,publisher,picture,description,full_content,generated_title,enhanced_summary,topic,api_content,summary,Key_points
Samsung's latest A-series mid-rangers are raising the bar,https://www.androidauthority.com/samsung-galaxy-a26-a36-a56-5g-3530959/,GNews,2025-03-01T23:00:20Z,Android Authority,https://www.androidauthority.com/wp-content/uploads/2025/02/Samsung-Galaxy-A36-All-Colors-In-Hand.jpg,"Affiliate links on Android Authority may earn us a commission.Learn more. Published on7 hours ago Samsung started the year strong, introducing its latest flagship hardware as it announced theGalaxy S25 seriesback in January. But for as much we love those kind of premium devices, it’s mid-range phones that really drive sales, and today Samsung’s got its latest batch of A-series phones to introduce. You’ve probably already heard a ton about this hardware thanks to all the leaks over the past few months, so let’s dive right into it and get all the official details on the Galaxy A26 5G, Galaxy A36 5G, and Galaxy A56 5G. Samsung may be introducing this A-series trio today, but let’s get one big asterisk out of the way first: Not all three of these affordable new Galaxy phones are arriving on the same timetable — at least depending on where you live. In the US, Samsung is getting started by releasing the Galaxy A26 5G and Galaxy A36 5G. The A36 5G lands first, with sales formally beginning on March 26. The Galaxy A26 5G is set to follow that one up a couple of days later, on March 28. If you’re looking to stand out a little bit, you might want to check out the Galaxy A36 5G at Best Buy, where you’ll exclusively be able to find its Awesome Lime colorway. What about the Galaxy A56 5G? Although Samsung has committed to bringing the phone to the US, that’s not going to be happening for at least several more months. Right now, the company isn’t announcing an ETA more specific than “later this year,” but when pressing for more info, we were told that we could expect to hear more about those plans sometime in Q3. Across the pond, the situation is quite a bit different. In the UK, all three new Galaxy A models are set to go up for sale on March 19. Samsung further complicates the situation by offering each of these phones in alternate storage and memory configurations: Admittedly, we’d love to see that extra RAM and bonus storage similarly available in the States, but at least with exchange rates being what they are, Samsung’s positioned these models quite a bit more affordably for US shoppers. Samsung’s not trying anything too controversial with any of these models, and while they’re largely iterative refreshes on the Ax5 phones that came before them, we’re still seeing a few important upgrades that serve to make these budget phones feel that much more premium. For instance, the A26 5G introduces a glass back and gets an IP67 ingress rating, both new for Samsung at this price point. Thanks to moves like that, all three of these phones really feel very similar, with only small changes between each: Samsung got this new generation started with theGalaxy A16 5G, and for a phone that costs only around $200, that handset offered an experience that felt a lot more premium that you might expect. With these three latest additions, Samsung’s only trying to continue that trend, and thanks to a few key upgrades along the way, you’ll hopefully be able to find a budget model that precisely aligns with your needs. Here’s what you need to look out for: Samsung’s a big fan of its linear lens layout this year, which really just packages all three rear cameras into one vertical bar, rather than the discrete lenses like we like we got before. All three models feature a comparable collection of sensors, but the A26 5G clearly takes a few hits due to its lower price point, making do with only a 2MP macro lens. We get an upgrade on the highest end for the A56 5G, which pushes its ultra-wide camera up to 12MP. While the A26 5G does have a slightly higher-res 13MP front-facer, the A36 5G and A56 5G swap that out for a 12MP selfie cam that adds support for 10-bit HDR. Really, though, the star here is Samsung’s processing and camera software. All three phones offer features like Object Eraser for using AI to quickly remove distracting and unwanted elements from your pics. You can also define custom filters to invent a vibe for your photos that’s uniquely your own. The Galaxy A56 5G manages to eke ahead with a few more exclusive features, adding Best Face to help you to get the cutest poses out of your messy group shots, and enhanced Nightography for snapping pics with minimal illumination. All three phones offer a 6.7-inch FHD+ Super AMOLED display, featuring a 120Hz refresh rate — and a super-smooth screen like that is an upgrade this year for the A26 5G. For the A36 5G and A56 5G, Samsung is also making sure that you can read that screen on even the sunniest days, equipping them both with panels capable of 1,200 nits in their high-brightness mode. Even if the A26 5G doesn’t see that same upgrade, the manufacturer does point out that this year its screen gets to enjoy a newly slimmed-down bezel. Samsung’s really been doing some good work towards making affordable phones feel like models in a higher price tier, and the Galaxy A26 5G, A36 5G, and A56 5G are perfect examples of that effort. Although they feature plastic frames, the use ofGorilla Glass Victus Pluson both front and back means you won’t actually be touching plastic most of the time you’re using these phones. That premium feeling is enhanced by Samsung’s efforts to slim down the hardware — these all measure under 8mm thick, while the last generation was above. Much like the storage and RAM options, the question of colors is a little more limited in the US. We’ve listed all the options available internationally up in the specs chart you saw above, but if you’re looking for a Galaxy A36 5G in America, your main choice is really just Awesome Black or Awesome Lavender — as we mentioned earlier, Awesome Lime is going to be a Best Buy exclusive. And if you’re shopping for the Galaxy A26 5G in the US, well…we hope you like Black. Because that’s all we’re getting. Samsung has yet to share which color options will be available for the US market when the Galaxy A56 5G arrives later this year. Once again, Samsung doesn’t give us a huge degree of variation across these three phones, and no matter which you pick up, you’re getting a 5,000mAh battery. The main distinction is in terms of charging speed instead of capacity, as only the Galaxy A36 5G and Galaxy A56 5G support 45W charging with Super Fast Charge 2.0. Samsung says that on the A36 5G, that means you’ll be able to charge the device to 70% in under half an hour. Just keep in mind that if you want to take advantage of 45W charging, you’ll need a compatible charger and cable — Samsung isn’t including either in the boxes here. Galaxy users everywhere are still patiently (or not) waiting for theirOne UI 7updates, which have yet to leave beta and start arriving for pre-2025 Samsung devices. And while that day is almost certainly coming up soon, anyone picking up the Galaxy A26 5G, A36 5G, or A56 5G won’t have to worry, with the phones arriving equipped with Samsung’s Android 15-based platform. Circle to Search first debuted on Samsung phones, and the company has continued to feature the useful tool. We saw it expand to older A-series phones last summer, and it’s back for this new set with all thelatest Circle to Search enhancements, like recognizing phone numbers and website addresses. Because this is Samsung, of course, the phones include its Knox security suite, and you can configure exactly what you want to permit in the Knox Matrix dashboard. That gives all these phones a great start, but what’s arguably even more exciting is the long-term support Samsung is promising here. Whether you’re buying the lowly Galaxy A26 5G or responsibly splurging on the Galaxy A56 5G, you can look forward to six major OS releases and six years of security updates. For smartphones in this budget realm, that’s absolutely incredible. Just think: If you manage to hold on to the A26 5G that whole time, you’re effectively paying under $50 a year for the phone. Really, there’s no bad choice here, and if you’re shopping for a phone on a limited budget, Samsung’s offering some very attractive options across a wide range of price points — especially when we factor in the Galaxy A16 5G. Will you be tempted to pick up the A36 5G when it lands later this month? Or are you thinking it might make sense to hold out for the A56 5G a little further down the line?","Affiliate links on Android Authority may earn us a commission.Learn more. Published on7 hours ago Samsung started the year strong, introducing its latest flagship hardware as it announced theGalaxy S25 seriesback in January. But for as much we love those kind of premium devices, it’s mid-range phones that really drive sales, and today Samsung’s got its latest batch of A-series phones to introduce. You’ve probably already heard a ton about this hardware thanks to all the leaks over the past few months, so let’s dive right into it and get all the official details on the Galaxy A26 5G, Galaxy A36 5G, and Galaxy A56 5G. Samsung may be introducing this A-series trio today, but let’s get one big asterisk out of the way first: Not all three of these affordable new Galaxy phones are arriving on the same timetable — at least depending on where you live. In the US, Samsung is getting started by releasing the Galaxy A26 5G and Galaxy A36 5G. The A36 5G lands first, with sales formally beginning on March 26. The Galaxy A26 5G is set to follow that one up a couple of days later, on March 28. If you’re looking to stand out a little bit, you might want to check out the Galaxy A36 5G at Best Buy, where you’ll exclusively be able to find its Awesome Lime colorway. What about the Galaxy A56 5G? Although Samsung has committed to bringing the phone to the US, that’s not going to be happening for at least several more months. Right now, the company isn’t announcing an ETA more specific than “later this year,” but when pressing for more info, we were told that we could expect to hear more about those plans sometime in Q3. Across the pond, the situation is quite a bit different. In the UK, all three new Galaxy A models are set to go up for sale on March 19. Samsung further complicates the situation by offering each of these phones in alternate storage and memory configurations: Admittedly, we’d love to see that extra RAM and bonus storage similarly available in the States, but at least with exchange rates being what they are, Samsung’s positioned these models quite a bit more affordably for US shoppers. Samsung’s not trying anything too controversial with any of these models, and while they’re largely iterative refreshes on the Ax5 phones that came before them, we’re still seeing a few important upgrades that serve to make these budget phones feel that much more premium. For instance, the A26 5G introduces a glass back and gets an IP67 ingress rating, both new for Samsung at this price point. Thanks to moves like that, all three of these phones really feel very similar, with only small changes between each: Samsung got this new generation started with theGalaxy A16 5G, and for a phone that costs only around $200, that handset offered an experience that felt a lot more premium that you might expect. With these three latest additions, Samsung’s only trying to continue that trend, and thanks to a few key upgrades along the way, you’ll hopefully be able to find a budget model that precisely aligns with your needs. Here’s what you need to look out for: Samsung’s a big fan of its linear lens layout this year, which really just packages all three rear cameras into one vertical bar, rather than the discrete lenses like we like we got before. All three models feature a comparable collection of sensors, but the A26 5G clearly takes a few hits due to its lower price point, making do with only a 2MP macro lens. We get an upgrade on the highest end for the A56 5G, which pushes its ultra-wide camera up to 12MP. While the A26 5G does have a slightly higher-res 13MP front-facer, the A36 5G and A56 5G swap that out for a 12MP selfie cam that adds support for 10-bit HDR. Really, though, the star here is Samsung’s processing and camera software. All three phones offer features like Object Eraser for using AI to quickly remove distracting and unwanted elements from your pics. You can also define custom filters to invent a vibe for your photos that’s uniquely your own. The Galaxy A56 5G manages to eke ahead with a few more exclusive features, adding Best Face to help you to get the cutest poses out of your messy group shots, and enhanced Nightography for snapping pics with minimal illumination. All three phones offer a 6.7-inch FHD+ Super AMOLED display, featuring a 120Hz refresh rate — and a super-smooth screen like that is an upgrade this year for the A26 5G. For the A36 5G and A56 5G, Samsung is also making sure that you can read that screen on even the sunniest days, equipping them both with panels capable of 1,200 nits in their high-brightness mode. Even if the A26 5G doesn’t see that same upgrade, the manufacturer does point out that this year its screen gets to enjoy a newly slimmed-down bezel. Samsung’s really been doing some good work towards making affordable phones feel like models in a higher price tier, and the Galaxy A26 5G, A36 5G, and A56 5G are perfect examples of that effort. Although they feature plastic frames, the use ofGorilla Glass Victus Pluson both front and back means you won’t actually be touching plastic most of the time you’re using these phones. That premium feeling is enhanced by Samsung’s efforts to slim down the hardware — these all measure under 8mm thick, while the last generation was above. Much like the storage and RAM options, the question of colors is a little more limited in the US. We’ve listed all the options available internationally up in the specs chart you saw above, but if you’re looking for a Galaxy A36 5G in America, your main choice is really just Awesome Black or Awesome Lavender — as we mentioned earlier, Awesome Lime is going to be a Best Buy exclusive. And if you’re shopping for the Galaxy A26 5G in the US, well…we hope you like Black. Because that’s all we’re getting. Samsung has yet to share which color options will be available for the US market when the Galaxy A56 5G arrives later this year. Once again, Samsung doesn’t give us a huge degree of variation across these three phones, and no matter which you pick up, you’re getting a 5,000mAh battery. The main distinction is in terms of charging speed instead of capacity, as only the Galaxy A36 5G and Galaxy A56 5G support 45W charging with Super Fast Charge 2.0. Samsung says that on the A36 5G, that means you’ll be able to charge the device to 70% in under half an hour. Just keep in mind that if you want to take advantage of 45W charging, you’ll need a compatible charger and cable — Samsung isn’t including either in the boxes here. Galaxy users everywhere are still patiently (or not) waiting for theirOne UI 7updates, which have yet to leave beta and start arriving for pre-2025 Samsung devices. And while that day is almost certainly coming up soon, anyone picking up the Galaxy A26 5G, A36 5G, or A56 5G won’t have to worry, with the phones arriving equipped with Samsung’s Android 15-based platform. Circle to Search first debuted on Samsung phones, and the company has continued to feature the useful tool. We saw it expand to older A-series phones last summer, and it’s back for this new set with all thelatest Circle to Search enhancements, like recognizing phone numbers and website addresses. Because this is Samsung, of course, the phones include its Knox security suite, and you can configure exactly what you want to permit in the Knox Matrix dashboard. That gives all these phones a great start, but what’s arguably even more exciting is the long-term support Samsung is promising here. Whether you’re buying the lowly Galaxy A26 5G or responsibly splurging on the Galaxy A56 5G, you can look forward to six major OS releases and six years of security updates. For smartphones in this budget realm, that’s absolutely incredible. Just think: If you manage to hold on to the A26 5G that whole time, you’re effectively paying under $50 a year for the phone. Really, there’s no bad choice here, and if you’re shopping for a phone on a limited budget, Samsung’s offering some very attractive options across a wide range of price points — especially when we factor in the Galaxy A16 5G. Will you be tempted to pick up the A36 5G when it lands later this month? Or are you thinking it might make sense to hold out for the A56 5G a little further down the line?",Samsung's latest A-series mid-rangers are raising the bar,"

Key Points:
",AI,"Paul Jones / Android Authority
Samsung started the year strong, introducing its latest flagship hardware as it announced the Galaxy S25 series back in January. But for as much we love those kind of premium devices, it’s mid-range phones that really d... [11369 chars]","Samsung has introduced the Galaxy A26 5G, Galaxy A36 5G, and Galaxy A56 5G, its latest mid-range phones in the A-series. The A26 5G and A36 5G are available in the US starting March 26 and March 28, respectively, while the A56 5G will be released ""later this year."" All three phones offer a 6.7-inch FHD+ Super AMOLED display with a 120Hz refresh rate, but the A36 5G and A56 5G have panels capable of 1,200 nits in high-brightness mode. The A26 5G features a glass back and IP67 ingress rating, while the A36 5G and A56 5G have 12MP selfie cameras with 10-bit HDR.","• Samsung's new Aseries phones, the Galaxy A26 5G, Galaxy A36 5G, and Galaxy A56 5G, offer midrange features and are available in the US starting March 2023.
• The A26 5G and A36 5G are available now, while the A56 5G will be released ""later this year.""
• All three phones feature a 6.7inch FHD+ Super AMOLED display with a 120Hz refresh rate, but the A36 5G and A56 5G have panels capable of 1,200 nits in highbrightness mode."
"After rolling out Sora beyond the US, OpenAI plans to put the video AI tool inside ChatGPT",https://www.techradar.com/computing/artificial-intelligence/after-rolling-out-sora-beyond-the-us-openai-plans-to-put-the-video-ai-tool-inside-chatgpt,GNews,2025-03-01T15:30:00Z,TechRadar,https://cdn.mos.cms.futurecdn.net/KAzXdHQampgZReDAG3YRAo-1200-80.jpg,"Computing Software Artificial Intelligence After rolling out Sora beyond the US, OpenAI plans to put the video AI tool inside ChatGPT News By David Nield published 1 March 2025 More tools in the ChatGPT app Comments ( 0 ) ( ) When you purchase through links on our site, we may earn an affiliate commission. Here’s how it works . Sora creates videos from text prompts (Image credit: OpenAI) OpenAI is reportedly going to add Sora to the ChatGPT app As yet there's no timeline for the integration The full Sora experience will continue to be a separate app Having launched in the US last December , and going live for a bunch of European countries earlier this week , OpenAI 's video generation tool Sora is expanding quickly – and the plan is to eventually put it inside the ChatGPT interface. That's according to discussions at a company meeting, as reported by TechCrunch . Right now, Sora lives on its own separate website, and isn't part of the ChatGPT apps on web or mobile – apps that do include image generation capabilities. Sora product lead Rohan Sahai apparently said that OpenAI has plans to put Sora in more places, as well as to build on the features and tools of the AI video maker. However, it seems likely Sora would also remain as a separate, standalone experience too. The version of Sora put inside ChatGPT may not be as comprehensive as the current web tool, Sahai admitted. Part of the reason the integration isn't already in place is to avoid cluttering up the ChatGPT interface too much. More on the way The Sora web interface (Image credit: Future) Right now there's no timeline for any of this, though Sora inside ChatGPT could help drive more paid subscriptions: right now, you need to be a ChatGPT Plus ($20-a-month) or ChatGPT Pro ($200-a-month) subscriber to be able to use Sora. You get different limits on video resolution and the number of videos you make, depending on how much you pay. Every user gets a certain number of credits each month, and videos that are longer and of higher quality cost more credits. The same user credentials are used to sign into both ChatGPT and Sora, so some of the work is already done. However, the Sora website has elements like a featured video showcase that would be difficult to cram into ChatGPT. Get daily insight, inspiration and deals in your inbox Sign up for breaking news, reviews, opinion, top tech deals, and more. Contact me with news and offers from other Future brands Receive email from us on behalf of our trusted partners or sponsors By submitting your information you agree to the Terms & Conditions and Privacy Policy and are aged 16 or over. Sahai reportedly also said that an improved version of the AI model running underneath Sora is on the way, and said that OpenAI was also working on an image generator powered by Sora that could produce more photorealistic images. Stay tuned. You might also like ChatGPT-4.5 is here for paying subscribers OpenAI confirms 400 million weekly ChatGPT users Exciting new features for all ChatGPT users See more Computing News TOPICS OpenAI ChatGPT David Nield Social Links Navigation Freelance Contributor Dave is a freelance tech journalist who has been writing about gadgets, apps and the web for more than two decades. Based out of Stockport, England, on TechRadar you'll find him covering news, features and reviews, particularly for phones, tablets and wearables. Working to ensure our breaking news coverage is the best in the business over weekends, David also has bylines at Gizmodo, T3, PopSci and a few other places besides, as well as being many years editing the likes of PC Explorer and The Hardware Handbook. You must confirm your public display name before commenting Please logout and then login again, you will then be prompted to enter your display name. Logout More about artificial intelligence Now that ChatGPT Voice Mode is free, is it even worth paying for ChatGPT Plus anymore? What is Apple Intelligence: everything you need to know about the AI toolkit Latest Amazon’s new AI-powered Alexa+ is a lot more fun to talk to than ChatGPT or Siri, and I like it See more latest Most Popular Netflix has 8 new movies and shows with 100% on Rotten Tomatoes so far in 2025 – here they are De'Longhi's new bean-to-cup coffee machine could make you a milk-frothing maestro The price of AMD’s most powerful processor ever has been slashed by almost half and I can't understand why ICYMI: the 7 biggest tech stories of the week, from a next-gen Alexa to the new iPhone 16e This smart baby monitor with dual mode and enhanced alerts from Momcozy will give new parents peace of mind Netflix's trailer for a new comedy show that looks like Knives Out meets Weekend at Bernie's – Welcome to the Family seems like chaotic fun How to watch Brit Awards 2025 online from anywhere and for free Around $40 billion worth of illicit crypto transactions took place in 2024 Is this the end for electric supercars? More luxury automakers, including Aston Martin, delay plans for EVs Is this the perfect portable router? GL-iNet's latest model offers dual SIM, load balancing, gigabit LAN ports and four massive antennas Alexa+ – Here’s how to sign up for early access LATEST ARTICLES 1 5 new movies on Paramount Plus in March 2025 with over 90% on Rotten Tomatoes 2 iPhone 16e vs iPhone 16: which model is right for you? 3 Everything leaving Netflix in March 2025 – catch Sixteen Candles, Mad Max: Fury Road, and more before they're gone 4 Massive TV sale at Walmart is live: clearance prices on 4K, QLED and OLED TVs from $148 5 Quordle hints and answers for Sunday, March 2 (game #1133)","Computing Software Artificial Intelligence After rolling out Sora beyond the US, OpenAI plans to put the video AI tool inside ChatGPT News By David Nield published 1 March 2025 More tools in the ChatGPT app Comments ( 0 ) ( ) When you purchase through links on our site, we may earn an affiliate commission. Here’s how it works . Sora creates videos from text prompts (Image credit: OpenAI) OpenAI is reportedly going to add Sora to the ChatGPT app As yet there's no timeline for the integration The full Sora experience will continue to be a separate app Having launched in the US last December , and going live for a bunch of European countries earlier this week , OpenAI 's video generation tool Sora is expanding quickly – and the plan is to eventually put it inside the ChatGPT interface. That's according to discussions at a company meeting, as reported by TechCrunch . Right now, Sora lives on its own separate website, and isn't part of the ChatGPT apps on web or mobile – apps that do include image generation capabilities. Sora product lead Rohan Sahai apparently said that OpenAI has plans to put Sora in more places, as well as to build on the features and tools of the AI video maker. However, it seems likely Sora would also remain as a separate, standalone experience too. The version of Sora put inside ChatGPT may not be as comprehensive as the current web tool, Sahai admitted. Part of the reason the integration isn't already in place is to avoid cluttering up the ChatGPT interface too much. More on the way The Sora web interface (Image credit: Future) Right now there's no timeline for any of this, though Sora inside ChatGPT could help drive more paid subscriptions: right now, you need to be a ChatGPT Plus ($20-a-month) or ChatGPT Pro ($200-a-month) subscriber to be able to use Sora. You get different limits on video resolution and the number of videos you make, depending on how much you pay. Every user gets a certain number of credits each month, and videos that are longer and of higher quality cost more credits. The same user credentials are used to sign into both ChatGPT and Sora, so some of the work is already done. However, the Sora website has elements like a featured video showcase that would be difficult to cram into ChatGPT. Get daily insight, inspiration and deals in your inbox Sign up for breaking news, reviews, opinion, top tech deals, and more. Contact me with news and offers from other Future brands Receive email from us on behalf of our trusted partners or sponsors By submitting your information you agree to the Terms & Conditions and Privacy Policy and are aged 16 or over. Sahai reportedly also said that an improved version of the AI model running underneath Sora is on the way, and said that OpenAI was also working on an image generator powered by Sora that could produce more photorealistic images. Stay tuned. You might also like ChatGPT-4.5 is here for paying subscribers OpenAI confirms 400 million weekly ChatGPT users Exciting new features for all ChatGPT users See more Computing News TOPICS OpenAI ChatGPT David Nield Social Links Navigation Freelance Contributor Dave is a freelance tech journalist who has been writing about gadgets, apps and the web for more than two decades. Based out of Stockport, England, on TechRadar you'll find him covering news, features and reviews, particularly for phones, tablets and wearables. Working to ensure our breaking news coverage is the best in the business over weekends, David also has bylines at Gizmodo, T3, PopSci and a few other places besides, as well as being many years editing the likes of PC Explorer and The Hardware Handbook. You must confirm your public display name before commenting Please logout and then login again, you will then be prompted to enter your display name. Logout More about artificial intelligence Now that ChatGPT Voice Mode is free, is it even worth paying for ChatGPT Plus anymore? What is Apple Intelligence: everything you need to know about the AI toolkit Latest Amazon’s new AI-powered Alexa+ is a lot more fun to talk to than ChatGPT or Siri, and I like it See more latest Most Popular Netflix has 8 new movies and shows with 100% on Rotten Tomatoes so far in 2025 – here they are De'Longhi's new bean-to-cup coffee machine could make you a milk-frothing maestro The price of AMD’s most powerful processor ever has been slashed by almost half and I can't understand why ICYMI: the 7 biggest tech stories of the week, from a next-gen Alexa to the new iPhone 16e This smart baby monitor with dual mode and enhanced alerts from Momcozy will give new parents peace of mind Netflix's trailer for a new comedy show that looks like Knives Out meets Weekend at Bernie's – Welcome to the Family seems like chaotic fun How to watch Brit Awards 2025 online from anywhere and for free Around $40 billion worth of illicit crypto transactions took place in 2024 Is this the end for electric supercars? More luxury automakers, including Aston Martin, delay plans for EVs Is this the perfect portable router? GL-iNet's latest model offers dual SIM, load balancing, gigabit LAN ports and four massive antennas Alexa+ – Here’s how to sign up for early access LATEST ARTICLES 1 5 new movies on Paramount Plus in March 2025 with over 90% on Rotten Tomatoes 2 iPhone 16e vs iPhone 16: which model is right for you? 3 Everything leaving Netflix in March 2025 – catch Sixteen Candles, Mad Max: Fury Road, and more before they're gone 4 Massive TV sale at Walmart is live: clearance prices on 4K, QLED and OLED TVs from $148 5 Quordle hints and answers for Sunday, March 2 (game #1133)","After rolling out Sora beyond the US, OpenAI plans to put the video AI tool inside ChatGPT","

Key Points:
",AI,"OpenAI is reportedly going to add Sora to the ChatGPT app
As yet there's no timeline for the integration
The full Sora experience will continue to be a separate app
Having launched in the US last December, and going live for a bunch of European count... [2116 chars]","OpenAI plans to integrate its video generation tool Sora into the ChatGPT app, expanding its reach beyond the separate Sora website. No timeline has been announced for the integration.","• OpenAI is planning to add Sora to the ChatGPT app.
• The integration may not offer the same comprehensive experience as the current Sora web tool.
• There's no timeline for the integration, but it could help drive more paid subscriptions for ChatGPT."
Microsoft invests in cloud data firm Veeam Software to build AI products,https://finance.yahoo.com/news/microsoft-invests-cloud-data-firm-140759727.html,GNews,2025-02-25T14:07:59Z,Yahoo Finance,https://media.zenfs.com/en/reuters-finance.com/32d19a9717282d4fed432a1089dd824f,"Unlock stock picks and a broker-level newsfeed that powers Wall Street. Upgrade Now Microsoft invests in cloud data firm Veeam Software to build AI products Illustration shows Microsoft logo · Reuters Reuters Tue, Feb 25, 2025, 9:07 AM 1 min read In This Article: MSFT +1.14% (Reuters) - Microsoft has made an undisclosed equity investment in Veeam Software as part of an expanded partnership to build artificial intelligence products, the cloud data company said on Tuesday. Veeam's software is designed to help customers quickly recover their data after cybersecurity incidents, ransomware attacks or accidental data loss. Its core product supports immutable backups to prevent ransomware from modifying or deleting data, ensuring that clean copies remain available for recovery even if hackers encrypt files. Microsoft had invested in cybersecurity firm Rubrik in 2021, which also offers data backup and recovery solutions. Veeam said it would focus on research and development investments and design collaboration, among others, with the support of Microsoft. It will also integrate Microsoft's AI services into its products. U.S. private equity firm Insight Partners, which is the largest shareholder in Veeam, sold a $2 billion stake in the company in a secondary sale valuing the firm at $15 billion, it said in December last year. Veeam was acquired by Insight Partners for about $5 billion in 2020. Founded in 2006, Veeam has more than 550,000 customers globally including corporations such as Deloitte and Canon, according to its website. (Reporting by Jaspreet Singh in Bengaluru; Editing by Sahal Muhammed) View Comments Terms and Privacy Policy Privacy Dashboard More Info Recommended Stories","Unlock stock picks and a broker-level newsfeed that powers Wall Street. Upgrade Now Microsoft invests in cloud data firm Veeam Software to build AI products Illustration shows Microsoft logo · Reuters Reuters Tue, Feb 25, 2025, 9:07 AM 1 min read In This Article: MSFT +1.14% (Reuters) - Microsoft has made an undisclosed equity investment in Veeam Software as part of an expanded partnership to build artificial intelligence products, the cloud data company said on Tuesday. Veeam's software is designed to help customers quickly recover their data after cybersecurity incidents, ransomware attacks or accidental data loss. Its core product supports immutable backups to prevent ransomware from modifying or deleting data, ensuring that clean copies remain available for recovery even if hackers encrypt files. Microsoft had invested in cybersecurity firm Rubrik in 2021, which also offers data backup and recovery solutions. Veeam said it would focus on research and development investments and design collaboration, among others, with the support of Microsoft. It will also integrate Microsoft's AI services into its products. U.S. private equity firm Insight Partners, which is the largest shareholder in Veeam, sold a $2 billion stake in the company in a secondary sale valuing the firm at $15 billion, it said in December last year. Veeam was acquired by Insight Partners for about $5 billion in 2020. Founded in 2006, Veeam has more than 550,000 customers globally including corporations such as Deloitte and Canon, according to its website. (Reporting by Jaspreet Singh in Bengaluru; Editing by Sahal Muhammed) View Comments Terms and Privacy Policy Privacy Dashboard More Info Recommended Stories",Microsoft invests in cloud data firm Veeam Software to build AI products,"

Key Points:
",Software Development,"(Reuters) - Microsoft has made an undisclosed equity investment in Veeam Software as part of an expanded partnership to build artificial intelligence products, the cloud data company said on Tuesday.
Veeam's software is designed to help customers qui... [1092 chars]",Microsoft invests in Veeam Software to expand partnership and build AI products. Veeam specializes in data recovery and prevention against cyberattacks.,"• Microsoft makes an undisclosed equity investment in Veeam Software for AI product development.
• Veeam's software helps customers recover data quickly after cybersecurity incidents and ransomware attacks.
• Microsoft will collaborate with Veeam on research and development, design, and AI service integration."
